project;bugtype;count;version
pgjdbc;JMH_LOOP_INSIDE_BENCHMARK;18;5d17c6a7ce623deb78b185efde598c8b9158aa5d
graal-core;SKIP;SKIP;SKIP
grpc-java;JMH_BENCHMARK_METHOD_FOUND;3;5d17c6a7ce623deb78b185efde598c8b9158aa5d
grpc-java;JMH_STATE_FINAL_FIELD;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
grpc-java;JMH_LOOP_INSIDE_BENCHMARK;2;5d17c6a7ce623deb78b185efde598c8b9158aa5d
xodus;JMH_BENCHMARKMODE_SINGLESHOT;34;6cb98c0b61e6077f39492ce84be8270eee76b2b5
xodus;JMH_BENCHMARK_METHOD_FOUND;66;6cb98c0b61e6077f39492ce84be8270eee76b2b5
xodus;JMH_FIXTURE_USING_INVOCATION_SCOPE;18;6cb98c0b61e6077f39492ce84be8270eee76b2b5
xodus;JMH_STATE_FINAL_FIELD;187;6cb98c0b61e6077f39492ce84be8270eee76b2b5
xodus;JMH_IGNORED_METHOD_RETURN;20;6cb98c0b61e6077f39492ce84be8270eee76b2b5
xodus;JMH_LOOP_INSIDE_BENCHMARK;26;6cb98c0b61e6077f39492ce84be8270eee76b2b5
javaslang-circuitbreaker;JMH_BENCHMARK_METHOD_FOUND;17;4bc5037fd9795ab49d94c8d0e2aab0ff149f48a2
javaslang-circuitbreaker;JMH_STATE_FINAL_FIELD;63;4bc5037fd9795ab49d94c8d0e2aab0ff149f48a2
javaslang-circuitbreaker;JMH_IGNORED_METHOD_RETURN;1;4bc5037fd9795ab49d94c8d0e2aab0ff149f48a2
javaslang-circuitbreaker;JMH_BENCHMARK_METHOD_FOUND;17;5d17c6a7ce623deb78b185efde598c8b9158aa5d
javaslang-circuitbreaker;JMH_STATE_FINAL_FIELD;63;5d17c6a7ce623deb78b185efde598c8b9158aa5d
javaslang-circuitbreaker;JMH_IGNORED_METHOD_RETURN;1;5d17c6a7ce623deb78b185efde598c8b9158aa5d
xstream;JMH_BENCHMARK_METHOD_FOUND;18;0a71b1edde842852f8ba01417188dcb75100286d
xstream;JMH_IGNORED_METHOD_RETURN;2;0a71b1edde842852f8ba01417188dcb75100286d
xstream;JMH_LOOP_INSIDE_BENCHMARK;1;0a71b1edde842852f8ba01417188dcb75100286d
xstream;JMH_STATE_FINAL_FIELD;30;0a71b1edde842852f8ba01417188dcb75100286d
rxjava-extras;JMH_BENCHMARK_METHOD_FOUND;1;a91d2ba7d454843250e0b0fce36084f9fb02a551
rxjava-extras;JMH_IGNORED_METHOD_RETURN;1;a91d2ba7d454843250e0b0fce36084f9fb02a551
airlift;JMH_BENCHMARK_METHOD_FOUND;6;38ad99bc73f4e2e23a5412ac79083fc363aa6285
airlift;JMH_IGNORED_METHOD_RETURN;3;38ad99bc73f4e2e23a5412ac79083fc363aa6285
airlift;JMH_LOOP_INSIDE_BENCHMARK;4;38ad99bc73f4e2e23a5412ac79083fc363aa6285
airlift;JMH_STATE_FINAL_FIELD;44;38ad99bc73f4e2e23a5412ac79083fc363aa6285
objenesis;JMH_BENCHMARK_METHOD_FOUND;13;1a25ff1ef7c77e658556819493090f3346d389cf
objenesis;JMH_STATE_FINAL_FIELD;19;1a25ff1ef7c77e658556819493090f3346d389cf
glowroot;JMH_BENCHMARK_METHOD_FOUND;5;4600cbfde66470fe01b012d369cdadbebf32cedc
glowroot;JMH_STATE_FINAL_FIELD;30;4600cbfde66470fe01b012d369cdadbebf32cedc
glowroot;JMH_LOOP_INSIDE_BENCHMARK;3;4600cbfde66470fe01b012d369cdadbebf32cedc
glowroot;JMH_BENCHMARKMODE_SINGLESHOT;1;4600cbfde66470fe01b012d369cdadbebf32cedc
glowroot;JMH_IGNORED_METHOD_RETURN;1;4600cbfde66470fe01b012d369cdadbebf32cedc
jenetics;JMH_BENCHMARK_METHOD_FOUND;47;d12b3360f180fcefcf20f3d6e9504bf9e8d9de9c
jenetics;JMH_STATE_FINAL_FIELD;79;d12b3360f180fcefcf20f3d6e9504bf9e8d9de9c
jenetics;JMH_IGNORED_METHOD_RETURN;2;d12b3360f180fcefcf20f3d6e9504bf9e8d9de9c
jenetics;JMH_LOOP_INSIDE_BENCHMARK;16;d12b3360f180fcefcf20f3d6e9504bf9e8d9de9c
geo;JMH_BENCHMARK_METHOD_FOUND;2;e90d2f406133cd9b60d54a3e6bdb7423d7fcce37
